interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
640.00;680.00;33.00;id_-E1_1;33.00;182.67;31;21.00;21.00;12.60;2;1.84;4;16.50;16.50;4.57;0.78;1.51;8.98;5.73;3.27;6;5;8;131.00;2.00
640.00;680.00;137.00;id_-E1_2;98.00;627.66;97;73.00;40.00;20.08;3;1.84;4;45.67;32.67;15.69;2.42;1.61;3.71;20.75;3.50;3;1;5;140.00;1.00
640.00;680.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.53;5;0.00;0.00;0.00;0.00;2.05;12.84;1.38;4.08;3;5;8;162.81;0.00
640.00;680.00;199.00;id_-E2_1;8.00;51.12;8;104.00;4.00;20.00;3;2.03;4;66.33;2.67;1.28;0.20;0.92;9.79;1.96;1.93;6;7;10;75.92;0.00
640.00;680.00;166.00;id_-E2_2;96.00;612.70;95;97.00;40.00;20.09;3;2.03;4;55.33;32.00;15.32;2.38;1.58;2.60;25.50;3.12;2;1;4;125.00;1.00
640.00;680.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.68;5;0.00;0.00;0.00;0.00;1.11;13.38;0.94;3.33;3;5;7;132.46;0.00
640.00;680.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.36;13.49;0.35;1.07;5;5;6;43.00;0.00
640.00;680.00;61.00;id_-E3_2;45.00;215.09;42;56.00;40.00;12.57;2;1.35;4;15.25;11.25;5.38;1.05;0.75;6.02;10.03;2.23;4;1;5;89.00;3.00
680.00;720.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;3.97;11;0.00;0.00;0.00;0.00;3.22;12.98;1.72;9.00;5;4;12;359.20;0.00
680.00;720.00;44.00;id_E0_1;44.00;255.14;42;25.00;25.00;12.61;2;1.80;5;22.00;22.00;6.38;1.05;1.16;8.62;5.92;3.23;4;5;9;129.00;2.00
680.00;720.00;229.00;id_E0_2;13.00;78.44;12;104.00;5.00;27.50;4;1.80;5;45.80;2.60;1.96;0.30;0.56;7.92;4.31;1.77;2;7;7;67.42;1.00
680.00;720.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;3.68;8;0.00;0.00;0.00;0.00;2.80;13.38;1.54;6.12;4;8;12;244.75;0.00
680.00;720.00;121.00;id_-E1_1;88.00;545.40;86;61.00;40.00;20.33;3;3.68;8;30.25;22.00;13.63;2.15;2.34;7.21;8.13;5.08;9;5;12;203.00;2.00
680.00;720.00;292.00;id_-E1_2;155.00;1047.86;153;113.00;40.00;35.07;5;2.76;6;58.40;31.00;26.20;3.83;2.27;2.35;23.46;4.92;3;2;7;197.00;2.00
680.00;720.00;0.00;id_-E2_0;0.00;0.00;0;0.00;0.00;0.00;0;2.53;5;0.00;0.00;0.00;0.00;1.74;12.79;1.49;3.45;5;3;8;137.93;0.00
680.00;720.00;23.00;id_-E2_1;23.00;110.00;22;23.00;23.00;5.00;1;2.03;4;23.00;23.00;2.75;0.55;1.41;10.67;4.37;2.77;4;5;7;111.00;1.00
680.00;720.00;173.00;id_-E2_2;7.00;42.50;7;98.00;4.00;20.00;3;1.52;3;57.67;2.33;1.06;0.17;0.61;8.88;2.84;1.32;3;5;6;51.68;0.00
680.00;720.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.66;13.19;0.94;1.95;2;2;4;78.00;0.00
680.00;720.00;10.00;id_-E3_1;10.00;45.00;9;10.00;10.00;5.00;1;1.01;3;10.00;10.00;1.12;0.23;0.49;10.84;2.75;1.45;4;3;5;58.00;1.00
680.00;720.00;175.00;id_-E3_2;115.00;755.11;114;96.00;40.00;20.02;3;1.68;5;43.75;28.75;18.88;2.85;1.29;2.86;20.61;3.83;2;2;6;153.00;1.00
720.00;760.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.89;8;0.00;0.00;0.00;0.00;2.31;12.74;1.40;6.45;5;7;13;257.43;0.00
720.00;760.00;156.00;id_E0_1;112.00;732.71;111;65.00;40.00;20.13;3;2.89;8;52.00;37.33;18.32;2.77;2.35;7.09;10.30;6.53;8;5;12;261.00;1.00
720.00;760.00;0.00;id_E0_2;0.00;0.00;0;0.00;0.00;0.00;0;0.72;2;0.00;0.00;0.00;0.00;0.25;9.48;1.65;0.70;4;2;4;28.00;0.00
720.00;760.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.76;6;0.00;0.00;0.00;0.00;2.38;12.48;1.57;5.20;6;5;10;207.87;0.00
720.00;760.00;299.00;id_-E1_1;178.00;1227.70;177;101.00;40.00;35.01;5;4.14;9;59.80;35.60;30.69;4.42;3.28;4.83;13.57;7.12;7;5;14;285.00;1.00
720.00;760.00;311.00;id_-E1_2;19.00;129.89;19;114.00;6.00;35.01;5;2.76;6;62.20;3.80;3.25;0.47;0.97;8.40;4.39;2.35;3;7;8;89.90;0.00
