current_time,waiting_time
418691.0,414.0
418731.0,389.0
418771.0,342.0
418811.0,319.0
418851.0,560.0
418891.0,447.0
418931.0,378.0
418971.0,309.0
419011.0,535.0
419051.0,365.0
419091.0,330.0
419131.0,342.0
419171.0,677.0
419211.0,553.0
419251.0,404.0
419291.0,309.0
419331.0,447.0
419371.0,463.0
419411.0,404.0
419451.0,381.0
419491.0,487.0
419531.0,414.0
419571.0,421.0
419611.0,482.0
419651.0,524.0
419691.0,409.0
419731.0,451.0
419771.0,377.0
419811.0,553.0
419851.0,532.0
419891.0,385.0
419931.0,322.0
419971.0,623.0
420011.0,493.0
420051.0,395.0
420091.0,246.0
420131.0,432.0
420171.0,396.0
420211.0,400.0
420251.0,324.0
420291.0,457.0
420331.0,421.0
420371.0,389.0
420411.0,316.0
420451.0,413.0
420491.0,300.0
420531.0,434.0
420571.0,299.0
420611.0,468.0
420651.0,461.0
420691.0,368.0
420731.0,212.0
420771.0,458.0
420811.0,453.0
420851.0,384.0
420891.0,303.0
420931.0,679.0
420971.0,518.0
421011.0,353.0
421051.0,314.0
421091.0,418.0
421131.0,419.0
421171.0,333.0
421211.0,374.0
421251.0,579.0
421291.0,415.0
421331.0,306.0
421371.0,338.0
421411.0,459.0
421451.0,417.0
421491.0,322.0
421531.0,264.0
421571.0,462.0
421611.0,526.0
421651.0,390.0
421691.0,223.0
421731.0,330.0
421771.0,362.0
421811.0,350.0
421851.0,250.0
421891.0,499.0
421931.0,439.0
421971.0,474.0
422011.0,422.0
422051.0,654.0
422091.0,490.0
422131.0,376.0
422171.0,294.0
422211.0,468.0
422251.0,456.0
422291.0,377.0
422331.0,350.0
422371.0,553.0
422411.0,454.0
422451.0,504.0
422491.0,354.0
422531.0,548.0
422571.0,432.0
422611.0,431.0
422651.0,267.0
422691.0,399.0
422731.0,389.0
422771.0,374.0
422811.0,305.0
422851.0,476.0
422891.0,373.0
422931.0,322.0
422971.0,312.0
423011.0,536.0
423051.0,398.0
423091.0,376.0
423131.0,331.0
423171.0,490.0
423211.0,466.0
423251.0,397.0
423291.0,222.0
423331.0,413.0
423371.0,392.0
423411.0,282.0
423451.0,278.0
423491.0,512.0
423531.0,350.0
423571.0,386.0
423611.0,255.0
423651.0,466.0
423691.0,417.0
423731.0,334.0
423771.0,294.0
423811.0,493.0
423851.0,416.0
423891.0,408.0
423931.0,320.0
423971.0,576.0
424011.0,392.0
424051.0,372.0
424091.0,285.0
424131.0,449.0
424171.0,407.0
424211.0,317.0
424251.0,279.0
424291.0,662.0
424331.0,638.0
424371.0,535.0
424411.0,342.0
424451.0,431.0
424491.0,441.0
424531.0,476.0
424571.0,327.0
424611.0,393.0
424651.0,456.0
424691.0,601.0
424731.0,462.0
424771.0,521.0
424811.0,311.0
424851.0,390.0
424891.0,299.0
424931.0,528.0
424971.0,462.0
425011.0,483.0
425051.0,373.0
425091.0,511.0
425131.0,431.0
425171.0,387.0
425211.0,390.0
425251.0,618.0
425291.0,545.0
425331.0,460.0
425371.0,361.0
425411.0,584.0
425451.0,412.0
425491.0,401.0
425531.0,340.0
425571.0,463.0
425611.0,307.0
425651.0,290.0
425691.0,320.0
425731.0,524.0
425771.0,458.0
425811.0,336.0
425851.0,156.0
425891.0,389.0
425931.0,491.0
425971.0,442.0
426011.0,347.0
426051.0,584.0
426091.0,531.0
426131.0,446.0
426171.0,335.0
426211.0,564.0
426251.0,409.0
426291.0,416.0
426331.0,375.0
426371.0,517.0
426411.0,328.0
426451.0,397.0
426491.0,279.0
426531.0,498.0
426571.0,492.0
426611.0,409.0
426651.0,338.0
426691.0,521.0
426731.0,429.0
426771.0,398.0
426811.0,311.0
426851.0,484.0
426891.0,306.0
426931.0,334.0
426971.0,289.0
427011.0,533.0
427051.0,490.0
427091.0,384.0
427131.0,261.0
427171.0,458.0
427211.0,468.0
427251.0,340.0
427291.0,277.0
427331.0,487.0
427371.0,353.0
427411.0,371.0
427451.0,301.0
427491.0,506.0
427531.0,441.0
427571.0,352.0
427611.0,283.0
427651.0,547.0
427691.0,524.0
427731.0,501.0
427771.0,297.0
427811.0,524.0
427851.0,518.0
427891.0,459.0
427931.0,324.0
427971.0,439.0
428011.0,493.0
428051.0,421.0
428091.0,354.0
428131.0,589.0
428171.0,437.0
428211.0,399.0
428251.0,311.0
428291.0,524.0
428331.0,450.0
428371.0,455.0
428411.0,446.0
428451.0,572.0
428491.0,432.0
428531.0,431.0
428571.0,273.0
428611.0,414.0
428651.0,447.0
428691.0,419.0
428731.0,421.0
428771.0,468.0
428811.0,351.0
428851.0,414.0
428891.0,211.0
428931.0,419.0
428971.0,532.0
429011.0,543.0
429051.0,274.0
429091.0,370.0
429131.0,387.0
429171.0,477.0
429211.0,316.0
429251.0,390.0
429291.0,425.0
429331.0,422.0
429371.0,185.0
429411.0,456.0
429451.0,396.0
429491.0,393.0
429531.0,287.0
429571.0,473.0
429611.0,402.0
429651.0,402.0
429691.0,344.0
429731.0,491.0
429771.0,404.0
429811.0,353.0
429851.0,288.0
429891.0,382.0
429931.0,351.0
429971.0,326.0
430011.0,153.0
430051.0,431.0
430091.0,438.0
430131.0,410.0
430171.0,345.0
430211.0,517.0
430251.0,514.0
430291.0,453.0
430331.0,262.0
430371.0,440.0
430411.0,391.0
430451.0,351.0
430491.0,268.0
430531.0,392.0
430571.0,440.0
430611.0,378.0
430651.0,228.0
430691.0,434.0
430731.0,444.0
430771.0,477.0
430811.0,230.0
430851.0,387.0
430891.0,394.0
430931.0,415.0
430971.0,299.0
431011.0,530.0
431051.0,425.0
431091.0,377.0
431131.0,207.0
431171.0,353.0
431211.0,409.0
431251.0,420.0
431291.0,310.0
431331.0,534.0
431371.0,443.0
431411.0,363.0
431451.0,179.0
431491.0,344.0
431531.0,373.0
431571.0,367.0
431611.0,323.0
431651.0,420.0
431691.0,272.0
431731.0,274.0
431771.0,162.0
431811.0,382.0
431851.0,484.0
431891.0,560.0
431931.0,473.0
431971.0,609.0
432011.0,529.0
432051.0,480.0
432091.0,352.0
432131.0,496.0
432171.0,418.0
432211.0,360.0
432251.0,424.0
432291.0,581.0
432331.0,388.0
432371.0,253.0
432411.0,150.0
432451.0,341.0
432491.0,396.0
432531.0,350.0
432571.0,281.0
432611.0,441.0
432651.0,531.0
432691.0,435.0
432731.0,197.0
432771.0,427.0
432811.0,490.0
432851.0,387.0
432891.0,349.0
432931.0,557.0
432971.0,439.0
433011.0,411.0
433051.0,255.0
433091.0,424.0
433131.0,485.0
433171.0,566.0
433211.0,468.0
433251.0,574.0
433291.0,407.0
433331.0,323.0
433371.0,256.0
433411.0,540.0
433451.0,397.0
433491.0,444.0
433531.0,378.0
433571.0,542.0
433611.0,413.0
433651.0,341.0
433691.0,320.0
433731.0,442.0
433771.0,350.0
433811.0,284.0
433851.0,277.0
433891.0,406.0
433931.0,398.0
433971.0,388.0
434011.0,392.0
434051.0,534.0
434091.0,429.0
434131.0,370.0
434171.0,206.0
