interval_begin;interval_end;interval_haltingDurationSum;interval_id;interval_intervalHaltingDurationSum;interval_jamLengthInMetersSum;interval_jamLengthInVehiclesSum;interval_maxHaltingDuration;interval_maxIntervalHaltingDuration;interval_maxJamLengthInMeters;interval_maxJamLengthInVehicles;interval_maxOccupancy;interval_maxVehicleNumber;interval_meanHaltingDuration;interval_meanIntervalHaltingDuration;interval_meanMaxJamLengthInMeters;interval_meanMaxJamLengthInVehicles;interval_meanOccupancy;interval_meanSpeed;interval_meanTimeLoss;interval_meanVehicleNumber;interval_nVehEntered;interval_nVehLeft;interval_nVehSeen;interval_sampledSeconds;interval_startedHalts
960.00;1000.00;239.00;id_-E2_1;16.00;82.56;14;116.00;5.00;20.05;3;2.03;4;47.80;3.20;2.06;0.35;0.73;7.37;5.28;1.55;2;5;6;60.78;2.00
960.00;1000.00;0.00;id_-E2_2;0.00;0.00;0;0.00;0.00;0.00;0;0.00;0;0.00;0.00;0.00;0.00;0.00;-1.00;-1.00;0.00;0;0;0;0.00;0.00
960.00;1000.00;0.00;id_-E3_0;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.74;12.86;0.85;2.20;2;3;5;88.00;0.00
960.00;1000.00;0.00;id_-E3_1;0.00;0.00;0;0.00;0.00;0.00;0;1.01;3;0.00;0.00;0.00;0.00;0.42;13.15;0.68;1.25;4;3;4;50.00;0.00
960.00;1000.00;65.00;id_-E3_2;65.00;392.78;63;33.00;33.00;12.68;2;1.01;3;32.50;32.50;9.82;1.57;0.78;3.20;18.03;2.33;2;1;4;93.00;2.00
1000.00;1040.00;0.00;id_E0_0;0.00;0.00;0;0.00;0.00;0.00;0;2.89;8;0.00;0.00;0.00;0.00;2.44;12.37;1.88;6.83;3;5;10;272.41;0.00
1000.00;1040.00;0.00;id_E0_1;0.00;0.00;0;0.00;0.00;0.00;0;1.44;4;0.00;0.00;0.00;0.00;0.74;14.69;0.53;2.05;6;3;7;82.00;0.00
1000.00;1040.00;321.00;id_E0_2;18.00;113.35;17;118.00;6.00;35.00;5;2.11;6;53.50;3.00;2.83;0.42;0.74;7.12;4.44;2.23;4;7;9;86.69;1.00
1000.00;1040.00;0.00;id_-E1_0;0.00;0.00;0;0.00;0.00;0.00;0;2.76;6;0.00;0.00;0.00;0.00;2.30;11.93;1.97;5.05;4;4;9;201.78;0.00
1000.00;1040.00;331.00;id_-E1_1;171.00;1175.14;170;124.00;40.00;35.01;5;3.22;7;66.20;34.20;29.38;4.25;2.55;2.52;22.51;5.55;4;2;8;222.00;1.00
